x,y,z,yaw,velocity,change_flag
200.504257,991.973447,-0.000175,-1.77674814389,100.0,0
200.299758045,990.994580218,-0.000175,-1.77674873557,100.0,0
200.095258512,990.015713556,-0.000175,-1.77674892916,100.0,0
199.890758789,989.036846935,-0.000175,-1.77674892916,100.0,0
199.686259065,988.057980313,-0.000175,-1.77674824614,100.0,0
199.481760011,987.079113551,-0.000175,-1.77674868444,100.0,0
199.277260527,986.10024688,-0.000175,-1.77674868444,100.0,0
199.072761043,985.121380208,-0.000175,-1.77674814389,100.0,0
198.868262089,984.142513425,-0.000175,-1.77674873557,100.0,0
198.663762555,983.163646764,-0.000175,-1.77674873557,100.0,0
198.459263021,982.184780103,-0.000175,-1.77674814389,100.0,0
198.254764067,981.20591332,-0.000175,-1.77674873557,100.0,0
198.050264533,980.227046659,-0.000175,-1.77674892916,100.0,0
197.84576481,979.248180037,-0.000175,-1.77674892916,100.0,0
197.641265087,978.269313415,-0.000175,-1.77674824614,100.0,0
197.436766032,977.290446654,-0.000175,-1.77674868444,100.0,0
197.232266548,976.311579982,-0.000175,-1.77674868444,100.0,0
197.027767065,975.33271331,-0.000175,-1.77674873557,100.0,0
196.823267531,974.353846649,-0.000175,-1.77674843973,100.0,0
196.618768287,973.374979927,-0.000175,-1.77674843973,100.0,0
196.414269043,972.396113205,-0.000175,-1.77674873557,100.0,0
196.209769509,971.417246544,-0.000175,-1.77674843973,100.0,0
196.005270265,970.438379822,-0.000175,-1.77674843973,100.0,0
195.800771021,969.4595131,-0.000175,-1.77674912275,100.0,0
195.596271108,968.480646518,-0.000175,-1.77674873557,100.0,0
195.391771575,967.501779857,-0.000175,-1.77674873557,100.0,0
195.187272041,966.522913195,-0.000175,-1.77674814389,100.0,0
194.982773086,965.544046413,-0.000175,-1.77674873557,100.0,0
194.778273553,964.565179752,-0.000175,-1.77674873557,100.0,0
194.573774019,963.58631309,-0.000175,-1.77674814389,100.0,0
194.369275064,962.607446308,-0.000175,-1.77674873557,100.0,0
194.164775531,961.628579647,-0.000175,-1.77674843973,100.0,0
193.960276286,960.649712925,-0.000175,-1.77674843973,100.0,0
193.755777042,959.670846203,-0.000175,-1.77674873557,100.0,0
193.551277509,958.691979541,-0.000175,-1.77674892916,100.0,0
193.346777785,957.71311292,-0.000175,-1.77674892916,100.0,0
193.142278062,956.734246298,-0.000175,-1.77674824614,100.0,0
192.937779008,955.755379536,-0.000175,-1.77674868444,100.0,0
192.733279524,954.776512865,-0.000175,-1.77674868444,100.0,0
192.52878004,953.797646193,-0.000175,-1.77674814389,100.0,0
192.324281086,952.818779411,-0.000175,-1.77674873557,100.0,0
192.119781552,951.839912749,-0.000175,-1.77674873557,100.0,0
191.915282018,950.861046088,-0.000175,-1.77674814389,100.0,0
191.710783064,949.882179305,-0.000175,-1.77674873557,100.0,0
191.50628353,948.903312644,-0.000175,-1.77674892916,100.0,0
191.301783807,947.924446022,-0.000175,-1.77674892916,100.0,0
191.097284084,946.945579401,-0.000175,-1.77674873557,100.0,0
190.89278455,945.966712739,-0.000175,-1.77674873557,100.0,0
190.688285016,944.987846078,-0.000175,-1.77674814389,100.0,0
190.483786062,944.008979296,-0.000175,-1.77674873557,100.0,0
190.279286528,943.030112634,-0.000175,-1.77674843973,100.0,0
190.074787284,942.051245912,-0.000175,-1.77674843973,100.0,0
189.87028804,941.07237919,-0.000175,-1.77674873557,100.0,0
189.665788506,940.093512529,-0.000175,-1.77674843973,100.0,0
189.461289262,939.114645807,-0.000175,-1.77674843973,100.0,0
189.256790018,938.135779085,-0.000175,-1.77674912275,100.0,0
189.052290105,937.156912503,-0.000175,-1.77674873557,100.0,0
188.847790571,936.178045842,-0.000175,-1.77674873557,100.0,0
188.643291038,935.19917918,-0.000175,-1.77674814389,100.0,0
188.438792083,934.220312398,-0.000175,-1.77674873557,100.0,0
188.234292549,933.241445737,-0.000175,-1.77674873557,100.0,0
188.029793016,932.262579075,-0.000175,-1.77674814389,100.0,0
187.825294061,931.283712293,-0.000175,-1.77674873557,100.0,0
187.620794528,930.304845632,-0.000175,-1.77674843973,100.0,0
187.416295283,929.32597891,-0.000175,-1.77674843973,100.0,0
187.211796039,928.347112188,-0.000175,-1.77674873557,100.0,0
187.007296506,927.368245527,-0.000175,-1.77674892916,100.0,0
186.802796782,926.389378905,-0.000175,-1.77674892916,100.0,0
186.598297059,925.410512283,-0.000175,-1.77674873557,100.0,0
186.393797525,924.431645622,-0.000175,-1.77674843973,100.0,0
186.189298281,923.4527789,-0.000175,-1.77674843973,100.0,0
185.984799037,922.473912178,-0.000175,-1.77674814389,100.0,0
